Customer ID,Average Spending
CUST0001,105.90181818181819
CUST0002,88.8
CUST0003,159.5442857142857
CUST0004,107.47583333333334
CUST0005,127.7425
CUST0006,131.62555555555556
CUST0007,70.132
CUST0008,61.8
CUST0009,71.0
CUST0010,109.27777777777777
CUST0011,95.33454545454546
CUST0012,93.3175
CUST0013,111.63
CUST0014,79.83625
CUST0015,115.14444444444445
CUST0016,106.255
CUST0017,107.18384615384616
CUST0018,118.65499999999999
CUST0019,139.05545454545455
CUST0020,78.7
CUST0021,88.98272727272727
CUST0022,86.38125
CUST0023,97.5025
CUST0024,111.176
CUST0025,125.50272727272727
CUST0026,102.985
CUST0027,142.71857142857144
CUST0028,91.91714285714286
CUST0029,99.99888888888889
CUST0030,84.785
CUST0031,123.46692307692307
CUST0032,163.34555555555556
CUST0033,121.99571428571429
CUST0034,105.00399999999999
CUST0035,93.26636363636362
CUST0036,124.19200000000001
CUST0037,94.8725
CUST0038,114.80125000000001
CUST0039,107.18555555555555
CUST0040,89.70846153846153
CUST0041,109.82142857142857
CUST0042,117.07222222222224
CUST0043,91.07666666666667
CUST0044,132.078
CUST0045,127.246875
CUST0046,103.55285714285715
CUST0047,78.22142857142856
CUST0048,120.02384615384615
CUST0049,83.89636363636363
CUST0050,63.13
CUST0051,93.35666666666667
CUST0052,108.96625
CUST0053,88.34833333333334
CUST0054,92.86555555555555
CUST0055,101.244
CUST0056,106.2625
CUST0057,90.392
CUST0058,94.02250000000001
CUST0059,114.298
CUST0060,128.816
CUST0061,117.42909090909092
CUST0062,107.40285714285713
CUST0063,131.07333333333335
CUST0064,91.88571428571427
CUST0065,116.01400000000001
CUST0066,97.05428571428571
CUST0067,112.27875
CUST0068,122.3
CUST0069,74.31
CUST0070,112.56307692307692
CUST0071,105.495
CUST0072,125.28599999999999
CUST0073,125.83
CUST0074,106.46249999999999
CUST0075,86.40076923076923
CUST0076,87.27
CUST0077,119.17857142857143
CUST0078,102.015
CUST0079,58.04333333333333
CUST0080,116.61384615384615
CUST0081,97.47111111111111
CUST0082,122.49111111111112
CUST0083,110.92583333333333
CUST0084,90.42363636363636
CUST0085,82.1925
CUST0086,100.17285714285715
CUST0087,133.95818181818183
CUST0088,131.01250000000002
CUST0089,110.90888888888888
CUST0090,116.21777777777778
CUST0091,88.16624999999999
CUST0092,139.63272727272727
CUST0093,91.5975
CUST0094,105.92142857142858
CUST0095,127.06714285714285
CUST0096,99.71235294117646
CUST0097,98.24166666666667
CUST0098,100.0
CUST0099,118.172
CUST0100,93.24384615384616
CUST0101,73.07666666666667
CUST0102,112.285625
CUST0103,107.02933333333334
CUST0104,139.56833333333336
CUST0105,106.0611111111111
CUST0106,122.0842857142857
CUST0107,106.73714285714286
CUST0108,74.48125
CUST0109,111.118
CUST0110,128.43
CUST0111,104.24
CUST0112,129.64285714285714
CUST0113,110.335
CUST0114,108.82214285714285
CUST0115,79.05818181818182
CUST0116,106.23142857142857
CUST0117,126.16888888888889
CUST0118,97.67307692307692
CUST0119,131.14222222222222
CUST0120,103.755
CUST0121,112.65181818181819
CUST0122,103.73692307692308
CUST0123,108.452
CUST0124,116.08899999999998
CUST0125,94.92615384615384
CUST0126,106.26058823529412
CUST0127,128.70666666666668
CUST0128,113.97166666666665
CUST0129,105.95444444444445
CUST0130,107.66555555555556
CUST0131,123.78454545454547
CUST0132,127.84666666666665
CUST0133,126.05333333333334
CUST0134,95.74000000000001
CUST0135,101.78214285714286
CUST0136,80.91285714285713
CUST0137,133.77100000000002
CUST0138,84.69500000000001
CUST0139,124.68124999999999
CUST0140,97.25999999999999
CUST0141,116.1575
CUST0142,111.16923076923075
CUST0143,93.015
CUST0144,71.00444444444445
CUST0145,121.09200000000001
CUST0146,119.28416666666665
CUST0147,121.316
CUST0148,104.95928571428571
CUST0149,108.1875
CUST0150,101.91428571428571
CUST0151,109.35833333333333
CUST0152,121.12100000000001
CUST0153,138.926
CUST0154,112.49555555555554
CUST0155,110.479
CUST0156,97.14874999999999
CUST0157,95.538
CUST0158,111.24300000000001
CUST0159,116.55833333333334
CUST0160,61.418000000000006
CUST0161,96.00777777777778
CUST0162,107.32222222222224
CUST0163,95.13111111111111
CUST0164,71.875
CUST0165,115.72416666666668
CUST0166,127.39571428571428
CUST0167,58.79142857142857
CUST0168,114.39999999999999
CUST0169,121.96416666666666
CUST0170,113.75285714285714
CUST0171,81.82454545454544
CUST0172,114.73181818181818
CUST0173,70.28375
CUST0174,99.888
CUST0175,78.0911111111111
CUST0176,100.46000000000001
CUST0177,84.67181818181818
CUST0178,114.74363636363637
CUST0179,120.3511111111111
CUST0180,92.3075
CUST0181,109.48124999999999
CUST0182,103.53363636363635
CUST0183,88.53857142857143
CUST0184,101.17857142857143
CUST0185,148.21375
CUST0186,73.75666666666667
CUST0187,95.37142857142858
CUST0188,103.87076923076923
CUST0189,98.44058823529411
CUST0190,117.1709090909091
CUST0191,117.07833333333333
CUST0192,74.32333333333334
CUST0193,110.91900000000001
CUST0194,70.52333333333333
CUST0195,104.31
CUST0196,112.22818181818182
